squad,transfermarkt_id,transfermarkt_url
Real Madrid B,6767,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767
AlmerÃ­a,Not found,Not found
Sevilla,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
Valencia,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
BeÅŸiktaÅŸ,Not found,Not found
CÃ¡diz,Not found,Not found
Valladolid,132615,https://www.transfermarkt.com/fc-sport-river/startseite/verein/132615
GimnÃ stic,Not found,Not found
Zaragoza,12,https://www.transfermarkt.com/as-rom/startseite/verein/12
Sabadell,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Goa,Not found,Not found
Arenas Club de Getxo,Not found,Not found
Paris S-G,Not found,Not found
Wolves,Not found,Not found
AlavÃ©s,Not found,Not found
MÃ¡laga,Not found,Not found
AtlÃ©tico Madrid,Not found,Not found
Porto,Not found,Not found
Villarreal,Not found,Not found
Rangers,Not found,Not found
Sunderland,Not found,Not found
Nott'ham Forest,Not found,Not found
Bolton,Not found,Not found
Como,Not found,Not found
Genk,Not found,Not found
Al-Fayha,Not found,Not found
Bastia,Not found,Not found
Sion,Not found,Not found
Inter,Not found,Not found
Nancy,Not found,Not found
EskiÅŸehirspor,Not found,Not found
Granada,Not found,Not found
LeganÃ©s,Not found,Not found
VitÃ³ria SetÃºbal,Not found,Not found
Lyon,Not found,Not found
Yeni Mal'spor,Not found,Not found
UniÃ£o de Leiria,Not found,Not found
VitÃ³ria,Not found,Not found
BalÄ±kesirspor,Not found,Not found
Metz,Not found,Not found
CS U Craiova,Not found,Not found
Spezia,Not found,Not found
Eibar,Not found,Not found
Girona,Not found,Not found
Cartagena,Not found,Not found
Dinamo,Not found,Not found
Everton,Not found,Not found
PaÃ§os de Ferreira,Not found,Not found
CÃ³rdoba,Not found,Not found
Roma,Not found,Not found
Milan,Not found,Not found
Montreal Impact,Not found,Not found
JÃ¶nkÃ¶ping,Not found,Not found
Antequera,Not found,Not found
Elche,Not found,Not found
NE Revolution,Not found,Not found
Salamanca,Not found,Not found
LAFC,Not found,Not found
Chelsea,Not found,Not found
Monaco,Not found,Not found
Lecce,Not found,Not found
Bologna,Not found,Not found
Reading,Not found,Not found
Huesca,Not found,Not found
AlcorcÃ³n,Not found,Not found
WisÅ‚a PÅ‚ock,Not found,Not found
AIK Stockholm,Not found,Not found
KÃ¶ln,Not found,Not found
Braga,Not found,Not found
Albacete,Not found,Not found
AtlÃ©tico Mineiro,Not found,Not found
Botafogo (RJ),Not found,Not found
GrÃªmio,Not found,Not found
HÃ¤cken,Not found,Not found
SÃ£o Paulo,Not found,Not found
Napoli,Not found,Not found
QPR,Not found,Not found
UANL,Not found,Not found
BaÅŸakÅŸehir,Not found,Not found
Newcastle Utd,Not found,Not found
Estudiantesâ€“LP,Not found,Not found
DiÃ³sgyÅ‘r,Not found,Not found
Dijon,Not found,Not found
Lazio,Not found,Not found
Hebei Fortune,Not found,Not found
Amiens,Not found,Not found
Lens,Not found,Not found
Univ CatÃ³lica,Not found,Not found
Delhi Dynamos,Not found,Not found
AmÃ©rica,Not found,Not found
Torino,Not found,Not found
CRB,Not found,Not found
QuerÃ©taro,Not found,Not found
Club 9 de Octubre,Not found,Not found
LeÃ³n,Not found,Not found
Monterrey,Not found,Not found
Atl Goianiense,Not found,Not found
Carpi,Not found,Not found
Eint Frankfurt,Not found,Not found
Sparta R'dam,Not found,Not found
Eupen,Not found,Not found
Padova,Not found,Not found
NÃ¼rnberg,Not found,Not found
NY Red Bulls,Not found,Not found
Puebla,Not found,Not found
W Sydney,Not found,Not found
Melb Victory,Not found,Not found
Al-Riyadh SC,Not found,Not found
CastellÃ³n,Not found,Not found
Brighton,Not found,Not found
Arg Juniors,Not found,Not found
Al-Raed,Not found,Not found
FerencvÃ¡ros,Not found,Not found
MalmÃ¶,Not found,Not found
Oviedo,Not found,Not found
Cagliari,Not found,Not found
Bari,Not found,Not found
Rennes,Not found,Not found
Lyn,Not found,Not found
UNAM,Not found,Not found
AtlÃ©tico,Not found,Not found
D.C. United,Not found,Not found
O'Higgins,Not found,Not found
Cosenza,Not found,Not found
Rapid BucureÈ™ti,Not found,Not found
Poli TimiÈ™oara,Not found,Not found
Le Mans,Not found,Not found
Memphis,Not found,Not found
Blackburn,Not found,Not found
HÃ©rcules,Not found,Not found
Alania,Not found,Not found
Sheffield Weds,Not found,Not found
Zenit,Not found,Not found
Reims,Not found,Not found
OsmanlÄ±spor,Not found,Not found
AnkaragÃ¼cÃ¼,Not found,Not found
Antwerp,Not found,Not found
Standard LiÃ¨ge,Not found,Not found
PeÃ±arol,Not found,Not found
Lugo,Not found,Not found
Newell's OB,Not found,Not found
Atlas,Not found,Not found
Lille,Not found,Not found
Reus,Not found,Not found
Aris,Not found,Not found
Carolina,Not found,Not found
Al-Ettifaq,Not found,Not found
Kuban,Not found,Not found
Iraklis,Not found,Not found
MirandÃ©s,Not found,Not found
Siena,Not found,Not found
Latina,Not found,Not found
Parma,Not found,Not found
Al-Fateh,Not found,Not found
Brest,Not found,Not found
AtlÃ©tico Ottawa,Not found,Not found
AD Cali,Not found,Not found
ADU Magdalena,Not found,Not found
MÃ¡laga B,Not found,Not found
Steaua,Not found,Not found
Ebro,Not found,Not found
CE L'Hospitalet,Not found,Not found
FÃ©nix,Not found,Not found
FamalicÃ£o,Not found,Not found
Apollon,Not found,Not found
Ath Paranaense,Not found,Not found
Bilbao B,Not found,Not found
Kawa Frontale,Not found,Not found
Triv. Valderas,Not found,Not found
Llagostera,Not found,Not found
Cruzeiro,Not found,Not found
AvaÃ­,Not found,Not found
Rad,Not found,Not found
ZagÅ‚Ä™bie Lubin,Not found,Not found
Brescia,Not found,Not found
Pisa,Not found,Not found
CD L'Alcora,Not found,Not found
RE Mouscron,Not found,Not found
GazÃ©lec Ajaccio,Not found,Not found
Larissa,Not found,Not found
Caen,Not found,Not found
Venezia,Not found,Not found
Mons,Not found,Not found
Saipa,Not found,Not found
Bahia,Not found,Not found
Chaves,Not found,Not found
CuiabÃ¡,Not found,Not found
Vila Nova,Not found,Not found
NYCFC,Not found,Not found
KasÄ±mpaÅŸa,Not found,Not found
GÃ¶ztepe,Not found,Not found
RB Salzburg,Not found,Not found
Sporting KC,Not found,Not found
Start,Not found,Not found
StabÃ¦k,Not found,Not found
Astana FK,Not found,Not found
Veria,Not found,Not found
MazatlÃ¡n,Not found,Not found
Saint-Ã‰tienne,Not found,Not found
NY Cosmos,Not found,Not found
MarÃ­timo,Not found,Not found
Adelaide,Not found,Not found
Widzew ÅÃ³dÅº,Not found,Not found
Lechia GdaÅ„sk,Not found,Not found
ÅšlÄ…sk WrocÅ‚aw,Not found,Not found
LeixÃµes,Not found,Not found
HIFK,Not found,Not found
Ufa,Not found,Not found
MiedÅº,Not found,Not found
CornellÃ ,Not found,Not found
Chiapas,Not found,Not found
Racing Club,Not found,Not found
Santos,Not found,Not found
U ConcepciÃ³n,Not found,Not found
UniÃ³n EspaÃ±ola,Not found,Not found
Junior,Not found,Not found
Gent,Not found,Not found
SanluqueÃ±o,Not found,Not found
Teruel,Not found,Not found
WisÅ‚a KrakÃ³w,Not found,Not found
Orihuela,Not found,Not found
Oeste,Not found,Not found
Dinamo BucureÈ™ti,Not found,Not found
CA Bucaramanga,Not found,Not found
Swope Park,Not found,Not found
HonvÃ©d,Not found,Not found
SF Deltas,Not found,Not found
Al-Orobah,Not found,Not found
Atl SanluqueÃ±o,Not found,Not found
Skoda Xanthi,Not found,Not found
GenÃ§lerbirliÄŸi,Not found,Not found
Basel,Not found,Not found
Burgos,Not found,Not found
Melb City,Not found,Not found
UAG,Not found,Not found
LanÃºs,Not found,Not found
VÃ©lez Sarsfield,Not found,Not found
SocuÃ©llamos,Not found,Not found
Al-Hazem,Not found,Not found
AtlÃ©tico Baleares,Not found,Not found
Guangzhou,Not found,Not found
Paysandu,Not found,Not found
SÃ£o Bento,Not found,Not found
Club Deportivo Utrera,Not found,Not found
Vancouver W'caps,Not found,Not found
VÃ¥lerenga,Not found,Not found
Anzhi,Not found,Not found
AÃ‰K LÃ¡rnaka,Not found,Not found
Palermo,Not found,Not found
Al-Ta'ee,Not found,Not found
Freiburg,Not found,Not found
Penafiel,Not found,Not found
BÃ©kÃ©scsaba,Not found,Not found
HaladÃ¡s,Not found,Not found
Debrecen,Not found,Not found
La Equidad,Not found,Not found
BotoÈ™ani,Not found,Not found
Trapani,Not found,Not found
Treviso,Not found,Not found
Novara,Not found,Not found
Abha,Not found,Not found
Boa,Not found,Not found
VitÃ³ria GuimarÃ£es,Not found,Not found
Aves,Not found,Not found
Damac,Not found,Not found
Rostov,Not found,Not found
CacereÃ±o,Not found,Not found
JaÃ©n,Not found,Not found
UniÃ³n,Not found,Not found
Minnesota Utd,Not found,Not found
ColÃ³n,Not found,Not found
SPAL,Not found,Not found
Al Sadd,Not found,Not found
Politehnica TimiÈ™oara,Not found,Not found
Terek Grozny,Not found,Not found
KarabÃ¼kspor,Not found,Not found
Farul ConstanÈ›a,Not found,Not found
Jong Ajax,Not found,Not found
Pasto,Not found,Not found
CÃºcuta,Not found,Not found
Pereira,Not found,Not found
AtlÃ© TucumÃ¡n,Not found,Not found
Colo-Colo,Not found,Not found
Ancona,Not found,Not found
Tecos,Not found,Not found
AtlÃ©tico Saguntino,Not found,Not found
AC Omonia,Not found,Not found
SJ Earthquakes,Not found,Not found
AmÃ©rica (MG),Not found,Not found
General Caballero (JLM),Not found,Not found
UniÃ³n Comercio,Not found,Not found
Deportivo Recoleta,Not found,Not found
LDU de Quito,Not found,Not found
Melgar,Not found,Not found
S-Pulse,Not found,Not found
San MartÃ­n SJ,Not found,Not found
Indep Petrolero,Not found,Not found
Den Bosch,Not found,Not found
San JosÃ©,Not found,Not found
Toledo,Not found,Not found
SCM Gloria BuzÄƒu,Not found,Not found
TÃ¢rgu MureÈ™,Not found,Not found
RakÃ³w,Not found,Not found
OH Leuven,Not found,Not found
V-V Nagasaki,Not found,Not found
MezÅ‘kÃ¶vesd,Not found,Not found
Lahti,Not found,Not found
Wellington,Not found,Not found
Poli IaÈ™i,Not found,Not found
Samara,Not found,Not found
SÃ¼dtirol,Not found,Not found
Deportes Magallanes,Not found,Not found
MiedÅº Legnica,Not found,Not found
Viitorul,Not found,Not found
Racing,Not found,Not found
NÃ¡utico,Not found,Not found
FC ChamaliÃ¨res,Not found,Not found
Unionistas Sal,Not found,Not found
BrÃ¸ndby,Not found,Not found
GuaireÃ±a,Not found,Not found
GuaranÃ­,Not found,Not found
Club AtlÃ©tico Tembetary,Not found,Not found
Alicante,Not found,Not found
BodÃ¸/Glimt,Not found,Not found
JÃºbilo Iwata,Not found,Not found
Caracas,Not found,Not found
VestsjÃ¦lland,Not found,Not found
Zamora,Not found,Not found
NÃ®mes,Not found,Not found
Molde,Not found,Not found
Jahn R'burg,Not found,Not found
NordsjÃ¦lland,Not found,Not found
Curico Unido,Not found,Not found
AthlÃ©tico MS,Not found,Not found
Al-Khaleej,Not found,Not found
MÃ©rida AD,Not found,Not found
Tigre,Not found,Not found
Dep La CoruÃ±a,Not found,Not found
Evian,Not found,Not found
