squad,transfermarkt_id,transfermarkt_url
Real Madrid B,Not found,Not found
AlmerÃ­a,Not found,Not found
Sevilla,Not found,Not found
Manchester City,281,https://www.transfermarkt.com/manchester-city/startseite/verein/281
Valencia,Not found,Not found
Middlesbrough,641,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641
BeÅŸiktaÅŸ,Not found,Not found
CÃ¡diz,Not found,Not found
Valladolid,Not found,Not found
Espanyol,714,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714
Getafe,3709,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709
Swansea City,2288,https://www.transfermarkt.com/swansea-city/startseite/verein/2288
GimnÃ stic,Not found,Not found
Zaragoza,Not found,Not found
Sporting GijÃ³n,2448,https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448
Sabadell,Not found,Not found
Kerala Blasters,45277,https://www.transfermarkt.com/kerala-blasters-fc/startseite/verein/45277
Goa,Not found,Not found
Arenas Club de Getxo,Not found,Not found
Benfica,294,https://www.transfermarkt.com/benfica-lissabon/startseite/verein/294
Real Madrid,418,https://www.transfermarkt.com/real-madrid/startseite/verein/418
Manchester Utd,985,https://www.transfermarkt.com/manchester-united/startseite/verein/985
Paris S-G,Not found,Not found
Juventus,506,https://www.transfermarkt.com/juventus-turin/startseite/verein/506
Rosario Central,1418,https://www.transfermarkt.com/club-atletico-rosario-central/startseite/verein/1418
Barcelona,131,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131
Barcelona B,2464,https://www.transfermarkt.com/fc-barcelona-b/startseite/verein/2464
Aston Villa,405,https://www.transfermarkt.com/aston-villa/startseite/verein/405
Wolves,Not found,Not found
Fulham,931,https://www.transfermarkt.com/fc-fulham/startseite/verein/931
Betis,150,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150
West Ham,379,https://www.transfermarkt.com/west-ham-united/startseite/verein/379
Liverpool,31,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31
La CoruÃ±a,897,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897
AlavÃ©s,Not found,Not found
MÃ¡laga,Not found,Not found
AtlÃ©tico Madrid,Not found,Not found
Porto,Not found,Not found
Villarreal,Not found,Not found
Osasuna,331,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331
Rangers,Not found,Not found
Tottenham,148,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148
Sunderland,Not found,Not found
Mallorca,237,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237
Nott'ham Forest,Not found,Not found
Bolton,Not found,Not found
Rayo Vallecano,367,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367
Lleida,92869,https://www.transfermarkt.com/ce-atletic-lleida-2019/startseite/verein/92869
Wigan Athletic,1071,https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071
Como,Not found,Not found
Genk,Not found,Not found
Toronto FC,11141,https://www.transfermarkt.com/toronto-fc/startseite/verein/11141
Inter Miami,69261,https://www.transfermarkt.com/inter-miami-cf/startseite/verein/69261
Konyaspor,2293,https://www.transfermarkt.com/konyaspor/startseite/verein/2293
Al-Fayha,Not found,Not found
Bastia,Not found,Not found
Arsenal,11,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11
Charlton Ath,358,https://www.transfermarkt.com/charlton-athletic/startseite/verein/358
Rubin Kazan,2698,https://www.transfermarkt.com/rubin-kazan/startseite/verein/2698
Sion,Not found,Not found
Udinese,410,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410
Inter,Not found,Not found
Marseille,244,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244
Nancy,Not found,Not found
Bursaspor,20,https://www.transfermarkt.com/bursaspor/startseite/verein/20
EskiÅŸehirspor,Not found,Not found
Hull City,3008,https://www.transfermarkt.com/hull-city/startseite/verein/3008
Al-Shabab,9840,https://www.transfermarkt.com/al-shabab-riad/startseite/verein/9840
Granada,Not found,Not found
Watford,1010,https://www.transfermarkt.com/fc-watford/startseite/verein/1010
West Brom,984,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984
LeganÃ©s,Not found,Not found
VitÃ³ria SetÃºbal,Not found,Not found
Lyon,Not found,Not found
Olympiacos,683,https://www.transfermarkt.com/olympiakos-piraus/startseite/verein/683
Yeni Mal'spor,Not found,Not found
Antalyaspor,589,https://www.transfermarkt.com/antalyaspor/startseite/verein/589
Athletic Club,621,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621
Boca Juniors,189,https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189
UniÃ£o de Leiria,Not found,Not found
Sporting CP,336,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336
VitÃ³ria,Not found,Not found
BalÄ±kesirspor,Not found,Not found
Metz,Not found,Not found
Arouca,8024,https://www.transfermarkt.com/fc-arouca/startseite/verein/8024
CS U Craiova,Not found,Not found
B-SAD,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
