squad,transfermarkt_id,transfermarkt_url
Real Madrid B,6767,https://www.transfermarkt.com/real-madrid-b-castilla-/startseite/verein/6767
AlmerÃ­a,Not found,Not found
Sevilla,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
Valencia,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
BeÅŸiktaÅŸ,Not found,Not found
CÃ¡diz,Not found,Not found
Valladolid,132615,https://www.transfermarkt.com/fc-sport-river/startseite/verein/132615
GimnÃ stic,Not found,Not found
Zaragoza,12,https://www.transfermarkt.com/as-rom/startseite/verein/12
Sabadell,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Goa,36020,https://www.transfermarkt.com/orense-sc/startseite/verein/36020
Arenas Club de Getxo,Not found,Not found
Paris S-G,Not found,Not found
Wolves,543,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543
AlavÃ©s,Not found,Not found
MÃ¡laga,Not found,Not found
AtlÃ©tico Madrid,Not found,Not found
Porto,40317,https://www.transfermarkt.com/ksc-blankenberge/startseite/verein/40317
Villarreal,2077,https://www.transfermarkt.com/sperre/startseite/verein/2077
Rangers,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Sunderland,1455,https://www.transfermarkt.com/fc-dordrecht/startseite/verein/1455
Nott'ham Forest,Not found,Not found
Bolton,3820,https://www.transfermarkt.com/mansfield-town/startseite/verein/3820
Como,800,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800
Genk,41274,https://www.transfermarkt.com/beerschot-v-a-/startseite/verein/41274
Al-Fayha,107858,https://www.transfermarkt.com/ettifaq-fc-u17/startseite/verein/107858
Bastia,14806,https://www.transfermarkt.com/ca-cerro/startseite/verein/14806
Sion,30756,https://www.transfermarkt.com/mazur-karczew/startseite/verein/30756
Inter,60,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60
Nancy,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
EskiÅŸehirspor,Not found,Not found
Granada,62534,https://www.transfermarkt.com/north-district/startseite/verein/62534
LeganÃ©s,Not found,Not found
VitÃ³ria SetÃºbal,Not found,Not found
Lyon,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Yeni Mal'spor,Not found,Not found
UniÃ£o de Leiria,Not found,Not found
VitÃ³ria,Not found,Not found
BalÄ±kesirspor,Not found,Not found
Metz,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
CS U Craiova,40812,https://www.transfermarkt.com/universitatea-craiova/startseite/verein/40812
Spezia,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
Eibar,51105,https://www.transfermarkt.com/jableh-sc-u19/startseite/verein/51105
Girona,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Cartagena,45604,https://www.transfermarkt.com/orlando-city-sc/startseite/verein/45604
Dinamo,121,https://www.transfermarkt.com/dinamo-moskau/startseite/verein/121
Everton,614,https://www.transfermarkt.com/flamengo-rio-de-janeiro/startseite/verein/614
PaÃ§os de Ferreira,Not found,Not found
CÃ³rdoba,Not found,Not found
Roma,398,https://www.transfermarkt.com/lazio-rom/startseite/verein/398
Milan,36,https://www.transfermarkt.com/fenerbahce-istanbul/startseite/verein/36
Montreal Impact,4078,https://www.transfermarkt.com/club-de-foot-montreal/startseite/verein/4078
JÃ¶nkÃ¶ping,Not found,Not found
Antequera,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Elche,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
NE Revolution,Not found,Not found
Salamanca,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
LAFC,75,https://www.transfermarkt.com/unbekannt/startseite/verein/75
Chelsea,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Monaco,1234,https://www.transfermarkt.com/club-atletico-independiente/startseite/verein/1234
Lecce,515,https://www.transfermarkt.com/vereinslos/startseite/verein/515
Bologna,2154,https://www.transfermarkt.com/ca-chacarita-juniors/startseite/verein/2154
Reading,2760,https://www.transfermarkt.com/partick-thistle-fc/startseite/verein/2760
Huesca,190,https://www.transfermarkt.com/fc-kopenhagen/startseite/verein/190
AlcorcÃ³n,Not found,Not found
WisÅ‚a PÅ‚ock,Not found,Not found
AIK Stockholm,Not found,Not found
KÃ¶ln,Not found,Not found
Braga,336,https://www.transfermarkt.com/sporting-lissabon/startseite/verein/336
Albacete,81741,https://www.transfermarkt.com/alcantarilla-fc/startseite/verein/81741
AtlÃ©tico Mineiro,Not found,Not found
Botafogo (RJ),Not found,Not found
GrÃªmio,Not found,Not found
HÃ¤cken,Not found,Not found
SÃ£o Paulo,Not found,Not found
Napoli,4561,https://www.transfermarkt.com/cs-emelec/startseite/verein/4561
QPR,1039,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039
UANL,368,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368
BaÅŸakÅŸehir,Not found,Not found
Newcastle Utd,Not found,Not found
Estudiantesâ€“LP,Not found,Not found
DiÃ³sgyÅ‘r,Not found,Not found
Dijon,5689,https://www.transfermarkt.com/cracovia/startseite/verein/5689
Lazio,1064,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064
Hebei Fortune,Not found,Not found
Amiens,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
Lens,82124,https://www.transfermarkt.com/real-sranang/startseite/verein/82124
Univ CatÃ³lica,Not found,Not found
Delhi Dynamos,45080,https://www.transfermarkt.com/odisha-fc/startseite/verein/45080
AmÃ©rica,Not found,Not found
Torino,4023,https://www.transfermarkt.com/-tm/startseite/verein/4023
CRB,41319,https://www.transfermarkt.com/nk-lukavec/startseite/verein/41319
QuerÃ©taro,Not found,Not found
Club 9 de Octubre,Not found,Not found
LeÃ³n,Not found,Not found
Monterrey,150,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150
Atl Goianiense,Not found,Not found
Carpi,1536,https://www.transfermarkt.com/burgos-cf/startseite/verein/1536
Eint Frankfurt,Not found,Not found
Sparta R'dam,Not found,Not found
Eupen,Not found,Not found
Padova,Not found,Not found
NÃ¼rnberg,Not found,Not found
NY Red Bulls,Not found,Not found
Puebla,Not found,Not found
W Sydney,Not found,Not found
Melb Victory,Not found,Not found
Al-Riyadh SC,Not found,Not found
CastellÃ³n,Not found,Not found
Brighton,Not found,Not found
Arg Juniors,Not found,Not found
Al-Raed,Not found,Not found
FerencvÃ¡ros,Not found,Not found
MalmÃ¶,Not found,Not found
Oviedo,Not found,Not found
Cagliari,Not found,Not found
Bari,Not found,Not found
Rennes,Not found,Not found
Lyn,Not found,Not found
UNAM,Not found,Not found
AtlÃ©tico,Not found,Not found
D.C. United,Not found,Not found
O'Higgins,Not found,Not found
Cosenza,Not found,Not found
Rapid BucureÈ™ti,Not found,Not found
Poli TimiÈ™oara,Not found,Not found
Le Mans,Not found,Not found
Memphis,Not found,Not found
Blackburn,Not found,Not found
HÃ©rcules,Not found,Not found
Alania,Not found,Not found
Sheffield Weds,Not found,Not found
Zenit,Not found,Not found
Reims,Not found,Not found
OsmanlÄ±spor,Not found,Not found
AnkaragÃ¼cÃ¼,Not found,Not found
Antwerp,Not found,Not found
Standard LiÃ¨ge,Not found,Not found
PeÃ±arol,Not found,Not found
Lugo,Not found,Not found
Newell's OB,Not found,Not found
Atlas,Not found,Not found
Lille,Not found,Not found
Reus,Not found,Not found
Aris,Not found,Not found
Carolina,Not found,Not found
Al-Ettifaq,Not found,Not found
Kuban,Not found,Not found
Iraklis,Not found,Not found
MirandÃ©s,Not found,Not found
Siena,Not found,Not found
Latina,Not found,Not found
Parma,Not found,Not found
Al-Fateh,Not found,Not found
Brest,Not found,Not found
AtlÃ©tico Ottawa,Not found,Not found
AD Cali,Not found,Not found
ADU Magdalena,Not found,Not found
MÃ¡laga B,Not found,Not found
Steaua,Not found,Not found
Ebro,Not found,Not found
CE L'Hospitalet,Not found,Not found
FÃ©nix,Not found,Not found
FamalicÃ£o,Not found,Not found
Apollon,Not found,Not found
Ath Paranaense,Not found,Not found
Bilbao B,Not found,Not found
Kawa Frontale,Not found,Not found
Triv. Valderas,Not found,Not found
Llagostera,Not found,Not found
Cruzeiro,Not found,Not found
AvaÃ­,Not found,Not found
Rad,Not found,Not found
ZagÅ‚Ä™bie Lubin,Not found,Not found
Brescia,Not found,Not found
Pisa,Not found,Not found
CD L'Alcora,Not found,Not found
RE Mouscron,Not found,Not found
GazÃ©lec Ajaccio,Not found,Not found
Larissa,Not found,Not found
Caen,Not found,Not found
Venezia,Not found,Not found
Mons,Not found,Not found
Saipa,Not found,Not found
Bahia,Not found,Not found
Chaves,Not found,Not found
CuiabÃ¡,Not found,Not found
Vila Nova,Not found,Not found
NYCFC,Not found,Not found
KasÄ±mpaÅŸa,Not found,Not found
GÃ¶ztepe,Not found,Not found
RB Salzburg,Not found,Not found
Sporting KC,Not found,Not found
Start,Not found,Not found
StabÃ¦k,Not found,Not found
Astana FK,Not found,Not found
Veria,Not found,Not found
MazatlÃ¡n,Not found,Not found
Saint-Ã‰tienne,Not found,Not found
NY Cosmos,Not found,Not found
MarÃ­timo,Not found,Not found
Adelaide,Not found,Not found
Widzew ÅÃ³dÅº,Not found,Not found
Lechia GdaÅ„sk,Not found,Not found
ÅšlÄ…sk WrocÅ‚aw,Not found,Not found
LeixÃµes,Not found,Not found
HIFK,Not found,Not found
Ufa,Not found,Not found
MiedÅº,Not found,Not found
CornellÃ ,Not found,Not found
Chiapas,Not found,Not found
Racing Club,Not found,Not found
Santos,Not found,Not found
U ConcepciÃ³n,Not found,Not found
UniÃ³n EspaÃ±ola,Not found,Not found
Junior,Not found,Not found
Gent,Not found,Not found
SanluqueÃ±o,Not found,Not found
Teruel,Not found,Not found
WisÅ‚a KrakÃ³w,Not found,Not found
Orihuela,Not found,Not found
Oeste,Not found,Not found
Dinamo BucureÈ™ti,Not found,Not found
CA Bucaramanga,Not found,Not found
Swope Park,Not found,Not found
HonvÃ©d,Not found,Not found
SF Deltas,Not found,Not found
Al-Orobah,Not found,Not found
Atl SanluqueÃ±o,Not found,Not found
Skoda Xanthi,Not found,Not found
GenÃ§lerbirliÄŸi,Not found,Not found
Basel,Not found,Not found
Burgos,Not found,Not found
Melb City,Not found,Not found
UAG,Not found,Not found
LanÃºs,Not found,Not found
VÃ©lez Sarsfield,Not found,Not found
SocuÃ©llamos,Not found,Not found
Al-Hazem,Not found,Not found
AtlÃ©tico Baleares,Not found,Not found
Guangzhou,Not found,Not found
Paysandu,Not found,Not found
SÃ£o Bento,Not found,Not found
Club Deportivo Utrera,Not found,Not found
Vancouver W'caps,Not found,Not found
VÃ¥lerenga,Not found,Not found
Anzhi,Not found,Not found
AÃ‰K LÃ¡rnaka,Not found,Not found
Palermo,Not found,Not found
Al-Ta'ee,Not found,Not found
Freiburg,Not found,Not found
Penafiel,Not found,Not found
BÃ©kÃ©scsaba,Not found,Not found
HaladÃ¡s,Not found,Not found
Debrecen,Not found,Not found
La Equidad,Not found,Not found
BotoÈ™ani,Not found,Not found
Trapani,Not found,Not found
Treviso,Not found,Not found
Novara,Not found,Not found
Abha,Not found,Not found
Boa,Not found,Not found
VitÃ³ria GuimarÃ£es,Not found,Not found
Aves,Not found,Not found
